AMidsummerNightsDream_01_001|a midsummer night's dream|a midsummer night's dream
AMidsummerNightsDream_01_002|based on the play by william shakespeare|based on the play by william shakespeare
AMidsummerNightsDream_01_003|adapted by lesley sims|adapted by lesley sims
AMidsummerNightsDream_01_004|when you hear this sound|when you hear this sound
AMidsummerNightsDream_01_005|turn the page|turn the page
AMidsummerNightsDream_02_001|the characters|the characters
AMidsummerNightsDream_02_002|theseus duke of athens engaged to hippolyta|theseus duke of athens engaged to hippolyta
AMidsummerNightsDream_02_003|hippolyta queen of the amazons|hippolyta queen of the amazons
AMidsummerNightsDream_02_004|egeus father of hermia wants her to marry demetrius|egeus father of hermia wants her to marry demetrius
AMidsummerNightsDream_02_005|hermia in love with lysander|hermia in love with lysander
AMidsummerNightsDream_02_006|lysander in love with hermia but enchanted to fall in love with helena|lysander in love with hermia but enchanted to fall in love with helena
AMidsummerNightsDream_02_007|demetrius also in love with hermia and enchanted to fall in love with helena|demetrius also in love with hermia and enchanted to fall in love with helena
AMidsummerNightsDream_02_008|helena hermia's best friend in love with demetrius|helena hermia's best friend in love with demetrius
AMidsummerNightsDream_02_009|oberon king of the fairies married to titania|oberon king of the fairies married to titania
AMidsummerNightsDream_02_010|titania queen of the fairies|titania queen of the fairies
AMidsummerNightsDream_02_011|puck the fairy who enchants lysander and demetrius peter quince who is putting on a play for theseus the duke|puck the fairy who enchants lysander and demetrius peter quince who is putting on a play for theseus the duke
AMidsummerNightsDream_02_012|bottom who plays pyramus a young man|bottom who plays pyramus a young man
AMidsummerNightsDream_02_013|flute who plays thisbe a young girl in love with pyramus|flute who plays thisbe a young girl in love with pyramus
AMidsummerNightsDream_02_014|snug who plays a lion|snug who plays a lion
AMidsummerNightsDream_02_015|snout who plays a wall|snout who plays a wall
AMidsummerNightsDream_02_016|starveling who plays the moon|starveling who plays the moon
AMidsummerNightsDream_03_001|this book is based on a famous play by william shakespeare|this book is based on a famous play by william shakespeare
AMidsummerNightsDream_03_002|he wrote a midsummer night's dream over four hundred years ago to amuse noisy audiences|he wrote a midsummer night's dream over four hundred years ago to amuse noisy audiences
AMidsummerNightsDream_03_003|they loved mix-ups and magic and this story is full of both|they loved mix-ups and magic and this story is full of both
AMidsummerNightsDream_03_004|chapter one|chapter one
AMidsummerNightsDream_03_005|wedding belles|wedding belles
AMidsummerNightsDream_03_006|theseus the duke of athens was very excited|theseus the duke of athens was very excited
AMidsummerNightsDream_03_007|the queen of the amazons hippolyta had agreed to marry him|the queen of the amazons hippolyta had agreed to marry him
AMidsummerNightsDream_03_008|squeezing her hand he grinned and ordered his servants to prepare for the wedding|squeezing her hand he grinned and ordered his servants to prepare for the wedding
AMidsummerNightsDream_04_001|soon they were racing around the palace polishing furniture and floors until they shone|soon they were racing around the palace polishing furniture and floors until they shone
AMidsummerNightsDream_04_002|in the kitchen the cook began creating a cake fit for a queen|in the kitchen the cook began creating a cake fit for a queen
AMidsummerNightsDream_04_003|we shall hold the best party athens has ever seen theseus promised hippolyta|we shall hold the best party athens has ever seen theseus promised hippolyta
AMidsummerNightsDream_04_004|just then an angry man burst into the great hall with three other people|just then an angry man burst into the great hall with three other people
AMidsummerNightsDream_04_005|i must see duke theseus now|i must see duke theseus now
AMidsummerNightsDream_04_006|he shouted|he shouted
AMidsummerNightsDream_04_007|is that you egeus|is that you egeus
AMidsummerNightsDream_04_008|asked theseus|asked theseus
AMidsummerNightsDream_04_009|whatever's wrong|whatever's wrong
AMidsummerNightsDream_05_001|egeus gestured at a girl in a yellow dress|egeus gestured at a girl in a yellow dress
AMidsummerNightsDream_05_002|it's my daughter hermia he explained|it's my daughter hermia he explained
AMidsummerNightsDream_05_003|i want her to marry this man demetrius|i want her to marry this man demetrius
AMidsummerNightsDream_05_004|a man in a blue tunic nodded to the duke|a man in a blue tunic nodded to the duke
AMidsummerNightsDream_05_005|but hermia wants to marry lysander egeus went on|but hermia wants to marry lysander egeus went on
AMidsummerNightsDream_05_006|you're in charge around here|you're in charge around here
AMidsummerNightsDream_05_007|please tell her to marry demetrius|please tell her to marry demetrius
AMidsummerNightsDream_05_008|theseus frowned at hermia|theseus frowned at hermia
AMidsummerNightsDream_05_009|demetrius is a good man he pointed out and the law says daughters must obey their fathers|demetrius is a good man he pointed out and the law says daughters must obey their fathers
AMidsummerNightsDream_05_010|at this lysander began to plead with the duke|at this lysander began to plead with the duke
AMidsummerNightsDream_05_011|hermia doesn't love demetrius|hermia doesn't love demetrius
AMidsummerNightsDream_05_012|she loves me|she loves me
AMidsummerNightsDream_05_013|let me marry her|let me marry her
AMidsummerNightsDream_06_001|theseus looked at the young man and shook his head|theseus looked at the young man and shook his head
AMidsummerNightsDream_06_002|lysander|lysander
AMidsummerNightsDream_06_003|he said sternly|he said sternly
AMidsummerNightsDream_06_004|i'm sorry but hermia must marry demetrius|i'm sorry but hermia must marry demetrius
AMidsummerNightsDream_06_005|it's what her father wants|it's what her father wants
AMidsummerNightsDream_06_006|if she won't do as egeus tells her she'll have to become a nun|if she won't do as egeus tells her she'll have to become a nun
AMidsummerNightsDream_06_007|lysander watched in fury as theseus left taking egeus and demetrius with him|lysander watched in fury as theseus left taking egeus and demetrius with him
AMidsummerNightsDream_06_008|hermia was dismayed|hermia was dismayed
AMidsummerNightsDream_06_009|i can't marry demetrius she cried|i can't marry demetrius she cried
AMidsummerNightsDream_06_010|and i won't be a nun|and i won't be a nun
AMidsummerNightsDream_06_011|don't cry|don't cry
AMidsummerNightsDream_06_012|we'll leave athens|we'll leave athens
AMidsummerNightsDream_06_013|i'll meet you in the forest tonight and we'll run away said lysander trying to comfort her|i'll meet you in the forest tonight and we'll run away said lysander trying to comfort her
AMidsummerNightsDream_07_001|run away|run away
AMidsummerNightsDream_07_002|said a sad voice interrupting them|said a sad voice interrupting them
AMidsummerNightsDream_07_003|who's running away|who's running away
AMidsummerNightsDream_07_004|it was hermia's best friend helena|it was hermia's best friend helena
AMidsummerNightsDream_07_005|quickly lysander told her their problem|quickly lysander told her their problem
AMidsummerNightsDream_07_006|helena sighed|helena sighed
AMidsummerNightsDream_07_007|i wish demetrius loved me the way you love hermia|i wish demetrius loved me the way you love hermia
AMidsummerNightsDream_07_008|poor helena said lysander|poor helena said lysander
AMidsummerNightsDream_07_009|we do too|we do too
AMidsummerNightsDream_07_010|but we can't hang around he went on|but we can't hang around he went on
AMidsummerNightsDream_07_011|come on hermia we must pack|come on hermia we must pack
AMidsummerNightsDream_07_012|we're leaving athens tonight hermia whispered on her way out|we're leaving athens tonight hermia whispered on her way out
AMidsummerNightsDream_07_013|left alone helena felt tears pricking her eyes|left alone helena felt tears pricking her eyes
AMidsummerNightsDream_07_014|it's so unfair|it's so unfair
AMidsummerNightsDream_07_015|she thought|she thought
AMidsummerNightsDream_07_016|demetrius loved me before he met hermia|demetrius loved me before he met hermia
AMidsummerNightsDream_07_017|around her the palace was full of noisy wedding preparations|around her the palace was full of noisy wedding preparations
AMidsummerNightsDream_07_018|the bustle made helena feel worse|the bustle made helena feel worse
AMidsummerNightsDream_07_019|i'll tell demetrius that hermia is running away she decided|i'll tell demetrius that hermia is running away she decided
AMidsummerNightsDream_07_020|perhaps then he'll choose me|perhaps then he'll choose me
AMidsummerNightsDream_08_001|chapter two|chapter two
AMidsummerNightsDream_08_002|putting on a play|putting on a play
AMidsummerNightsDream_08_003|over at the house of peter quince a craftsman things were almost as noisy|over at the house of peter quince a craftsman things were almost as noisy
AMidsummerNightsDream_08_004|he had decided to put on a play for the duke's wedding and asked five of his friends to help|he had decided to put on a play for the duke's wedding and asked five of his friends to help
AMidsummerNightsDream_08_005|are we all here|are we all here
AMidsummerNightsDream_08_006|quince called|quince called
AMidsummerNightsDream_08_007|nick bottom|nick bottom
AMidsummerNightsDream_08_008|here|here
AMidsummerNightsDream_08_009|francis flute|francis flute
AMidsummerNightsDream_08_010|here|here
AMidsummerNightsDream_08_011|robin starveling|robin starveling
AMidsummerNightsDream_08_012|here|here
AMidsummerNightsDream_08_013|tom snout|tom snout
AMidsummerNightsDream_08_014|here|here
AMidsummerNightsDream_08_015|snug|snug
AMidsummerNightsDream_08_016|here|here
AMidsummerNightsDream_09_001|the play i've chosen quince announced is the sad sad story of pyramus and thisbe|the play i've chosen quince announced is the sad sad story of pyramus and thisbe
AMidsummerNightsDream_09_002|bottom wasn't listening|bottom wasn't listening
AMidsummerNightsDream_09_003|oh good he said|oh good he said
AMidsummerNightsDream_09_004|i like a comedy|i like a comedy
AMidsummerNightsDream_09_005|who am i|who am i
AMidsummerNightsDream_09_006|you'll be pyramus quince told him|you'll be pyramus quince told him
AMidsummerNightsDream_09_007|a young man in love with the beautiful thisbe|a young man in love with the beautiful thisbe
AMidsummerNightsDream_09_008|bottom looked pleased|bottom looked pleased
AMidsummerNightsDream_09_009|i'll make a brilliant pyramus|i'll make a brilliant pyramus
AMidsummerNightsDream_09_010|and flute is to be thisbe quince went on|and flute is to be thisbe quince went on
AMidsummerNightsDream_09_011|flute looked horrified|flute looked horrified
AMidsummerNightsDream_09_012|a girl|a girl
AMidsummerNightsDream_09_013|i can't be a girl|i can't be a girl
AMidsummerNightsDream_09_014|i'm i'm growing a beard he said|i'm i'm growing a beard he said
AMidsummerNightsDream_09_015|and it means i'll have to kiss bottom|and it means i'll have to kiss bottom
AMidsummerNightsDream_09_016|oh|oh
AMidsummerNightsDream_09_017|i could be thisbe too bottom offered|i could be thisbe too bottom offered
AMidsummerNightsDream_09_018|i'll speak low for the man he growled and high for the girl he finished with a squeak|i'll speak low for the man he growled and high for the girl he finished with a squeak
AMidsummerNightsDream_10_001|flute is thisbe said quince firmly|flute is thisbe said quince firmly
AMidsummerNightsDream_10_002|he can wear a mask|he can wear a mask
AMidsummerNightsDream_10_003|starveling is the moon snout is a wall and snug is a lion|starveling is the moon snout is a wall and snug is a lion
AMidsummerNightsDream_10_004|bottom hopped up and down with excitement|bottom hopped up and down with excitement
AMidsummerNightsDream_10_005|oh|oh
AMidsummerNightsDream_10_006|let me be the lion he cried giving a fierce roar|let me be the lion he cried giving a fierce roar
AMidsummerNightsDream_10_007|quince jumped in surprise|quince jumped in surprise
AMidsummerNightsDream_10_008|you'd scare the audience away he said|you'd scare the audience away he said
AMidsummerNightsDream_10_009|here are your words quince added handing out pieces of paper|here are your words quince added handing out pieces of paper
AMidsummerNightsDream_10_010|learn them quickly|learn them quickly
AMidsummerNightsDream_10_011|we'll meet tonight in the forest to rehearse|we'll meet tonight in the forest to rehearse
AMidsummerNightsDream_11_001|chapter three|chapter three
AMidsummerNightsDream_11_002|a fairy fight|a fairy fight
AMidsummerNightsDream_11_003|later that evening deep in the forest oberon king of the fairies was in the middle of a fight with his dazzling queen titania|later that evening deep in the forest oberon king of the fairies was in the middle of a fight with his dazzling queen titania
AMidsummerNightsDream_11_004|they were arguing over one of titania's servants|they were arguing over one of titania's servants
AMidsummerNightsDream_11_005|you should give him to me oberon declared|you should give him to me oberon declared
AMidsummerNightsDream_11_006|he followed titania as she walked through the forest nagging her until the queen's head ached|he followed titania as she walked through the forest nagging her until the queen's head ached
AMidsummerNightsDream_11_007|i want a page to carry my cloak|i want a page to carry my cloak
AMidsummerNightsDream_12_001|titania turned away her hair glowing gold in the moonlight|titania turned away her hair glowing gold in the moonlight
AMidsummerNightsDream_12_002|oberon stop it she said|oberon stop it she said
AMidsummerNightsDream_12_003|he's my page and i'm keeping him|he's my page and i'm keeping him
AMidsummerNightsDream_12_004|she waved a pale hand and four fairies appeared|she waved a pale hand and four fairies appeared
AMidsummerNightsDream_12_005|come|come
AMidsummerNightsDream_12_006|she ordered|she ordered
AMidsummerNightsDream_12_007|we're leaving|we're leaving
AMidsummerNightsDream_12_008|oberon frowned|oberon frowned
AMidsummerNightsDream_12_009|titania had plenty of fairies to serve her and he needed a page boy|titania had plenty of fairies to serve her and he needed a page boy
AMidsummerNightsDream_12_010|grumpily he sat on a tree stump and wondered what to do|grumpily he sat on a tree stump and wondered what to do
AMidsummerNightsDream_12_011|after a moment his face cleared|after a moment his face cleared
AMidsummerNightsDream_12_012|i need help he realized|i need help he realized
AMidsummerNightsDream_12_013|where's puck|where's puck
AMidsummerNightsDream_12_014|puck|puck
AMidsummerNightsDream_12_015|in a flash his jester puck hovered before him|in a flash his jester puck hovered before him
AMidsummerNightsDream_12_016|puck was the most mischievous fairy of all|puck was the most mischievous fairy of all
AMidsummerNightsDream_13_001|i want to trick titania oberon explained|i want to trick titania oberon explained
AMidsummerNightsDream_13_002|i'm going to make her fall in love with the first thing she sees even if it's a monkey|i'm going to make her fall in love with the first thing she sees even if it's a monkey
AMidsummerNightsDream_13_003|puck chuckled|puck chuckled
AMidsummerNightsDream_13_004|that's the best spell i ever heard|that's the best spell i ever heard
AMidsummerNightsDream_13_005|but i need a magic herb oberon said|but i need a magic herb oberon said
AMidsummerNightsDream_13_006|can you find it for me as quick as you can|can you find it for me as quick as you can
AMidsummerNightsDream_13_007|i'll search around the earth in forty minutes|i'll search around the earth in forty minutes
AMidsummerNightsDream_13_008|as puck flew into the starry night oberon heard voices|as puck flew into the starry night oberon heard voices
AMidsummerNightsDream_13_009|silently he slipped behind a tree|silently he slipped behind a tree
AMidsummerNightsDream_13_010|it was demetrius looking for hermia with helena close behind|it was demetrius looking for hermia with helena close behind
AMidsummerNightsDream_13_011|i don't love you anymore so stop following me he snapped|i don't love you anymore so stop following me he snapped
AMidsummerNightsDream_13_012|but helena couldn't leave him alone|but helena couldn't leave him alone
AMidsummerNightsDream_13_013|it makes me sick to look at you|it makes me sick to look at you
AMidsummerNightsDream_13_014|it makes me sick not to look at you|it makes me sick not to look at you
AMidsummerNightsDream_14_001|oberon gazed upon helena with pity|oberon gazed upon helena with pity
AMidsummerNightsDream_14_002|don't be unhappy he murmured|don't be unhappy he murmured
AMidsummerNightsDream_14_003|before the night is out that man will love you|before the night is out that man will love you
AMidsummerNightsDream_14_004|he looked up as puck returned clutching the herb|he looked up as puck returned clutching the herb
AMidsummerNightsDream_14_005|you found it|you found it
AMidsummerNightsDream_14_006|cried oberon with glee|cried oberon with glee
AMidsummerNightsDream_14_007|i want you to use some of it too he said telling puck of his plans for demetrius and helena|i want you to use some of it too he said telling puck of his plans for demetrius and helena
AMidsummerNightsDream_14_008|leaving puck to search for demetrius oberon sped off to his queen|leaving puck to search for demetrius oberon sped off to his queen
AMidsummerNightsDream_14_009|he found her lying on a bed of violets with her fairies singing a lullaby|he found her lying on a bed of violets with her fairies singing a lullaby
AMidsummerNightsDream_14_010|the scent of herbs filled the air sweetening their magical song|the scent of herbs filled the air sweetening their magical song
AMidsummerNightsDream_15_001|oberon waited for the fairies to leave before gently rubbing the magic herb on titania's eyes|oberon waited for the fairies to leave before gently rubbing the magic herb on titania's eyes
AMidsummerNightsDream_15_002|what you see when you awake you will for your true love take|what you see when you awake you will for your true love take
AMidsummerNightsDream_15_003|meanwhile puck had found a sleeping couple but he'd made a mistake|meanwhile puck had found a sleeping couple but he'd made a mistake
AMidsummerNightsDream_15_004|he didn't enchant demetrius at all|he didn't enchant demetrius at all
AMidsummerNightsDream_15_005|he enchanted lysander|he enchanted lysander
AMidsummerNightsDream_15_006|chapter four|chapter four
AMidsummerNightsDream_15_007|puck's tricks|puck's tricks
AMidsummerNightsDream_15_008|not long after puck cast his spell demetrius and helena came past|not long after puck cast his spell demetrius and helena came past
AMidsummerNightsDream_15_009|demetrius was still determined to lose helena|demetrius was still determined to lose helena
AMidsummerNightsDream_16_001|leaping over tangled tree roots he raced away from her|leaping over tangled tree roots he raced away from her
AMidsummerNightsDream_16_002|helena sunk in gloom stopped and noticed lysander fast asleep|helena sunk in gloom stopped and noticed lysander fast asleep
AMidsummerNightsDream_16_003|lysander|lysander
AMidsummerNightsDream_16_004|she began|she began
AMidsummerNightsDream_16_005|lysander awoke and gasped with delight|lysander awoke and gasped with delight
AMidsummerNightsDream_16_006|sweet helena he cried|sweet helena he cried
AMidsummerNightsDream_16_007|i love you|i love you
AMidsummerNightsDream_16_008|helena was shocked|helena was shocked
AMidsummerNightsDream_16_009|you can't|you can't
AMidsummerNightsDream_16_010|she said|she said
AMidsummerNightsDream_16_011|you love hermia|you love hermia
AMidsummerNightsDream_16_012|forget hermia said lysander|forget hermia said lysander
AMidsummerNightsDream_16_013|stop teasing helena snapped|stop teasing helena snapped
AMidsummerNightsDream_16_014|if you're going to be silly i'm leaving|if you're going to be silly i'm leaving
AMidsummerNightsDream_16_015|and she left|and she left
AMidsummerNightsDream_16_016|lysander turned to the sleeping hermia|lysander turned to the sleeping hermia
AMidsummerNightsDream_16_017|stay there for all i care he hissed|stay there for all i care he hissed
AMidsummerNightsDream_16_018|i'm following helena|i'm following helena
AMidsummerNightsDream_16_019|when hermia woke a moment later she was alone|when hermia woke a moment later she was alone
AMidsummerNightsDream_16_020|lysander|lysander
AMidsummerNightsDream_16_021|she called|she called
AMidsummerNightsDream_16_022|where are you|where are you
AMidsummerNightsDream_16_023|what's happened|what's happened
AMidsummerNightsDream_16_024|scrambling to her feet she went to look for him|scrambling to her feet she went to look for him
AMidsummerNightsDream_17_001|puck had no idea of the trouble he'd caused|puck had no idea of the trouble he'd caused
AMidsummerNightsDream_17_002|he was flying deeper into the woods looking for fun|he was flying deeper into the woods looking for fun
AMidsummerNightsDream_17_003|and who should he run into but peter quince rehearsing with his friends|and who should he run into but peter quince rehearsing with his friends
AMidsummerNightsDream_17_004|a play|a play
AMidsummerNightsDream_17_005|puck thought|puck thought
AMidsummerNightsDream_17_006|i think i'll watch and maybe i'll join in|i think i'll watch and maybe i'll join in
AMidsummerNightsDream_17_007|bottom was worried|bottom was worried
AMidsummerNightsDream_17_008|this play's too scary he said|this play's too scary he said
AMidsummerNightsDream_17_009|especially the lion snout agreed|especially the lion snout agreed
AMidsummerNightsDream_17_010|i think we should leave out the scary parts|i think we should leave out the scary parts
AMidsummerNightsDream_17_011|i know|i know
AMidsummerNightsDream_17_012|we'll tell the audience it's just pretend|we'll tell the audience it's just pretend
AMidsummerNightsDream_18_001|bottom stepped into the middle of a clearing and waved his arms|bottom stepped into the middle of a clearing and waved his arms
AMidsummerNightsDream_18_002|this can be our stage he said and the play began|this can be our stage he said and the play began
AMidsummerNightsDream_18_003|as puck watched a brilliant idea popped into his head|as puck watched a brilliant idea popped into his head
AMidsummerNightsDream_18_004|when bottom finished his speech and left the clearing puck followed|when bottom finished his speech and left the clearing puck followed
AMidsummerNightsDream_18_005|the play went on until flute acting thisbe called for pyramus|the play went on until flute acting thisbe called for pyramus
AMidsummerNightsDream_18_006|fair thisbe i'm yours|fair thisbe i'm yours
AMidsummerNightsDream_18_007|shouted bottom crashing around a bush|shouted bottom crashing around a bush
AMidsummerNightsDream_18_008|flute took one look at him and screamed|flute took one look at him and screamed
AMidsummerNightsDream_18_009|a monster|a monster
AMidsummerNightsDream_18_010|puck had given bottom a donkey's head|puck had given bottom a donkey's head
AMidsummerNightsDream_19_001|what's the matter|what's the matter
AMidsummerNightsDream_19_002|asked bottom who didn't know about puck's spell|asked bottom who didn't know about puck's spell
AMidsummerNightsDream_19_003|help|help
AMidsummerNightsDream_19_004|flute screamed again and everyone ran away|flute screamed again and everyone ran away
AMidsummerNightsDream_19_005|stop teasing me|stop teasing me
AMidsummerNightsDream_19_006|bottom called after them|bottom called after them
AMidsummerNightsDream_19_007|he began to walk up and down singing loudly to himself to show he didn't care|he began to walk up and down singing loudly to himself to show he didn't care
AMidsummerNightsDream_19_008|bottom's awful singing woke titania who took one look at his floppy furry ears and fell in love|bottom's awful singing woke titania who took one look at his floppy furry ears and fell in love
AMidsummerNightsDream_19_009|whose angel voice is that|whose angel voice is that
AMidsummerNightsDream_19_010|she asked|she asked
AMidsummerNightsDream_19_011|sing again o wise beautiful creature|sing again o wise beautiful creature
AMidsummerNightsDream_19_012|summoning her fairies she told them to feed him dewberries and sweet ripe apricots|summoning her fairies she told them to feed him dewberries and sweet ripe apricots
AMidsummerNightsDream_19_013|and shield his eyes from the moon with your butterfly wings she said|and shield his eyes from the moon with your butterfly wings she said
AMidsummerNightsDream_20_001|titania stroked bottom's velvety nose|titania stroked bottom's velvety nose
AMidsummerNightsDream_20_002|i'll take good care of you she promised kissing his fuzzy cheek|i'll take good care of you she promised kissing his fuzzy cheek
AMidsummerNightsDream_20_003|puck peeked through some leaves at them and giggled|puck peeked through some leaves at them and giggled
AMidsummerNightsDream_20_004|springing up he flew off to tell oberon of his trick|springing up he flew off to tell oberon of his trick
AMidsummerNightsDream_21_001|chapter five|chapter five
AMidsummerNightsDream_21_002|who loves who|who loves who
AMidsummerNightsDream_21_003|a donkey|a donkey
AMidsummerNightsDream_21_004|that's better than i'd hoped said oberon in delight|that's better than i'd hoped said oberon in delight
AMidsummerNightsDream_21_005|just then they heard a shout|just then they heard a shout
AMidsummerNightsDream_21_006|hermia who was still looking for lysander had found demetrius|hermia who was still looking for lysander had found demetrius
AMidsummerNightsDream_21_007|did you enchant him as i asked|did you enchant him as i asked
AMidsummerNightsDream_21_008|oberon whispered to puck|oberon whispered to puck
AMidsummerNightsDream_21_009|that man|that man
AMidsummerNightsDream_21_010|oh no it wasn't him puck replied carelessly|oh no it wasn't him puck replied carelessly
AMidsummerNightsDream_21_011|hermia and demetrius were arguing loudly|hermia and demetrius were arguing loudly
AMidsummerNightsDream_21_012|you must have killed lysander|you must have killed lysander
AMidsummerNightsDream_21_013|he'd never leave me|he'd never leave me
AMidsummerNightsDream_21_014|hermia stormed off|hermia stormed off
AMidsummerNightsDream_21_015|demetrius shrugged|demetrius shrugged
AMidsummerNightsDream_21_016|she's crazy he thought|she's crazy he thought
AMidsummerNightsDream_21_017|i'll wait here until she's calmed down|i'll wait here until she's calmed down
AMidsummerNightsDream_21_018|he sat down and yawned|he sat down and yawned
AMidsummerNightsDream_21_019|soon he was sound asleep|soon he was sound asleep
AMidsummerNightsDream_22_001|oberon groaned|oberon groaned
AMidsummerNightsDream_22_002|oh puck what have you done|oh puck what have you done
AMidsummerNightsDream_22_003|we must put this right|we must put this right
AMidsummerNightsDream_22_004|tiptoeing to demetrius he squeezed flower juice in his eyes|tiptoeing to demetrius he squeezed flower juice in his eyes
AMidsummerNightsDream_22_005|now go puck swifter than the night and find helena|now go puck swifter than the night and find helena
AMidsummerNightsDream_22_006|no need said puck|no need said puck
AMidsummerNightsDream_22_007|she's here|she's here
AMidsummerNightsDream_22_008|sure enough there was helena closely followed by a desperate lysander|sure enough there was helena closely followed by a desperate lysander
